sona,A3ATT,SCI-SP1,SCI-SP2,SCI-SP3,SCI-SP4,SCI-IN1,SCI-IN2,SCI-IN3,SCI-IN4,SCI-GR1,SCI-GR2,SCI-GR3,SCI-GR4,SCI-AP1,SCI-AP2,SCI-AP3,SCI-AP4,SCI-SR1,SCI-SR2,SCI-SR3,SCI-SR4,SCI-ML1,SCI-ML2,SCI-ML3,SCI-ML4,SCI-HE1,SCI-HE2,SCI-HE3,SCI-HE4,TMMS-R1,TMMS-R2,TMMS-R3,TMMS-R4-R,TMMS-R5-R,TMMS-R6-R,TMMS-R7,TMMS-A1-R,TMMS-A2-R,TMMS-A3-R,TMMS-A4,TMMS-A5,TMMS-A6,TMMS-A7-R,TMMS-A8-R,TMMS-A9,TMMS-A10-R,TMMS-A11,TMMS-A12-R,TMMS-A13-R,TMMS-C1-R,TMMS-C2-R,Q62,TMMS-C3-R,TMMS-C4,TMMS-C5-R,TMMS-C6,TMMS-C7-R,TMMS-C8,TMMS-C9,TMMS-C10
"ID#



Before we move on ––

What's your participant ID# on SONA?

SONA Provides you with an ID# (e.g., 12345). Visit SONA here to find it: https://cornellpsych.sona-systems.com/



Note: If you don’t have a SONA ID#, please write your Cornell email address (e.g., jdf269@cornell.edu). Your data will remain confidential. I will ‘de-identify’ your information before sharing the study results with anyone.","On a scale of 1-7, please select the number ‘4’ below (to confirm your attention to this question).","You spend some time focusing on a spiritual subject (e.g., you meditate or pray or read on a spiritual subject, etc.).



I am mindful of how important this subject is to me.","You have a comforting or enlightening spiritual experience.



I am enthralled by this very personal experience.","You encounter an evocative spiritual work.



I immerse myself in this meaningful experience.","You listen to sacred or spiritual music.



I attend to the transcending feelings this music elicits.","You watch your favorite artist perform live.



I yield to the excitement I feel.","Instructions: Imagine that you are in the situation described and rate the degree to which the statement corresponds to what you would typically do/think in this scenario. Try to be as truthful and accurate as you can.



You spend some time gazing at the sky (e.g., a splendid skyscape, a majestic star field, a lovely sunset or sunrise, etc.).



I marvel at the colors painted across the sky.","You attend a spectacular Broadway show or musical.



I tune into the enthusiasm evoked by this performance.","You watch a moving dance performance.



I embrace the emotions and beauty of the choreography.","Someone makes you dinner.



I recognize and cherish the kindness of the act.","Your hands are full of heavy things, you have a long way to go, and a good soul offers to help you carry your load.



I take the time to feel thankful for this person’s generosity.","A friend does you an unexpected favor.



I feel fortunate to have such a friend.","Instructions: Imagine that you are in the situation described and rate the degree to which the statement corresponds to what you would typically do/think in this scenario. Try to be as truthful and accurate as you can.



A friend helps you move to your new place.



I am so pleased that my friend went out of their way for me.","You witness an awesome display of nature’s might (a lightning storm, torrential rains, snowstorm, etc.).



I admire the breath-taking display.","An experience makes you realize how wonderful nature is (e.g., hearing birds sing, seeing and hearing a waterfall, petting a cute puppy, etc.).



I take in the beauty of nature.","You stare at an impressive seascape.



I am awed by the power and beauty of the sea.","You go to an exciting circus show.



I am enchanted by the physical feats and visual spectacle I witness.","You have just achieved something dear to your heart.



I relish the sense of accomplishment.","Instructions: Imagine that you are in the situation described and rate the degree to which the statement corresponds to what you would typically do/think in this scenario. Try to be as truthful and accurate as you can.



You discover you have learned something new about the value of self-care.



I recall the satisfaction derived from this self-improvement.","You look back on a challenging situation you faced and consider what you learned from it.



I reflect on how I have grown from this challenge.","You realize something new about yourself.



I attend to the satisfaction of having improved my self-knowledge.","You come across intriguing ideas about the meaning of life.



I am captivated by these fascinating new insights about life.","You reflect on the ultimate meaning of life.



I am aware of the interesting twists and turns of this existential exploration.","You ponder whether there is an overarching purpose to life.



I concentrate on the profound ideas incited by this question.","You read a philosophical text on the finality of existence.



I give free rein to my curiosity and engage in deep thoughts on this meaningful issue.","Instructions: Imagine that you are in the situation described and rate the degree to which the statement corresponds to what you would typically do/think in this scenario. Try to be as truthful and accurate as you can.



You sit at a table and are handed your favorite dish (e.g., a juicy steak, your favorite junk food item, a tasty salad, a scrumptious seafood platter, etc.).



I delight in the sight, the smell and the taste of this meal.","You lie on a cozy bed or sofa, wrapped in a soft blanket.



I let myself unwind and luxuriate in comfort.","You sip your preferred drink (a gourmet coffee, a flavorful smoothie, a nice glass of beer or wine, etc.).



I relish the exquisite taste.","You soak in a hot whirlpool or a spa.



I take in the luxurious feeling of comfort, as the water soothes my muscles and relaxes me.",I try to think good thoughts no matter how bad I feel.,"Although I am sometimes sad, I have a mostly optimistic outlook.","When I become upset, I remind myself of all the pleasures in life.","When I am upset, I realize that the “good things in life” are illusions.","Although I am sometimes happy, I have a mostly pessimistic outlook.","No matter how bad I feel, I try to think about pleasant things.","When I am happy, I sometimes remind myself of everything that could go wrong.",People would be better off if they felt less and thought more.,I don’t think it’s worth paying attention to your emotions or moods.,I don’t usually care much about what I’m feeling.,Feelings give direction to life.,I believe in acting from the heart.,The best way for me to handle my feelings is to experience them to the fullest.,One should never be guided by emotions.,I never give into my emotions.,I pay a lot of attention to how I feel.,I don’t pay much attention to my feelings.,I often think about my feelings.,Feelings are a weakness humans have.,It is usually a waste of time to think about your emotions.,"Sometimes, I can’t tell what my feelings are.",I can never tell how I feel.,I can never tell how I feel.,My beliefs and opinions always seem to change depending on how I feel.,I am often aware of my feelings on a matter.,I am usually confused about how I feel.,I feel at ease about my emotions.,I can’t make sense out of my feelings.,I am usually very clear about my feelings,I usually know my feelings about a matter.,I almost always know exactly how I am feeling.
79939,4,3,28,1,5,29,29,29,29,29,29,29,29,28,5,4,28,3,28,5,5,5,29,28,28,29,29,5,28,2,4,4,5,4,2,4,5,5,5,4,5,4,5,4,4,5,5,5,5,1,4,2,2,4,2,1,2,2,4,2
72349,4,4,5,3,29,29,5,28,5,5,4,5,5,4,28,29,5,28,3,4,4,5,4,5,2,29,5,5,5,3,4,4,5,4,3,2,4,5,5,5,4,3,4,4,4,5,4,5,5,2,4,4,4,4,4,3,4,3,4,3
"84256
",4,3,3,3,3,28,4,5,28,5,4,28,28,4,4,4,4,4,3,5,4,3,3,3,3,5,28,4,4,2,4,2,4,2,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,2,2,2,2,3,3,3,2,3,3,2
 89044 ,4,3,3,3,5,29,28,2,29,29,28,5,28,29,29,28,3,28,5,4,28,4,5,4,4,29,29,28,29,4,4,4,4,3,3,4,3,5,5,4,3,4,4,5,5,4,5,5,4,2,4,4,3,4,3,4,3,5,4,4
88723,4,2,28,3,29,28,29,28,4,29,29,29,29,29,29,29,28,29,28,28,28,28,28,5,5,29,28,28,28,4,4,4,4,4,2,2,4,5,5,4,4,4,4,5,4,4,1,5,5,2,2,4,2,4,2,2,3,2,4,4
78559,4,5,28,5,28,28,28,5,5,5,5,29,5,4,5,5,4,29,28,5,28,29,5,5,28,3,29,5,28,2,5,1,4,5,4,1,4,5,5,4,4,4,5,4,5,5,4,5,5,4,4,4,4,4,4,4,5,4,4,4
85612,4,1,1,2,2,28,28,29,4,29,29,29,29,3,29,28,4,29,28,28,29,28,5,5,3,29,29,28,5,2,4,2,2,1,4,1,1,5,4,5,5,1,5,4,4,4,4,5,4,2,5,5,4,4,2,2,2,2,4,1
81274,4,5,28,4,4,28,29,5,4,29,29,5,28,3,5,3,4,28,3,5,5,28,4,4,2,29,28,28,3,4,4,3,4,4,2,2,4,5,4,5,4,5,3,4,4,4,4,5,5,4,5,5,4,5,4,4,5,5,5,4
91555,4,2,2,2,3,29,5,29,28,28,29,29,29,5,3,5,5,28,5,4,4,4,4,4,3,29,29,29,28,4,4,4,5,4,2,3,3,5,5,4,3,4,4,4,3,4,4,4,5,3,5,5,2,4,2,4,4,5,5,
90934,4,4,5,5,2,29,5,5,5,29,29,29,28,3,28,5,1,28,5,29,5,4,4,4,2,29,29,5,29,2,2,2,2,1,4,4,4,5,4,4,5,3,4,4,4,4,5,5,5,2,2,2,2,2,1,2,2,2,2,2
92773,4,2,3,3,2,28,28,2,5,29,4,29,29,2,28,5,4,28,5,29,28,28,5,5,4,29,4,29,3,4,5,4,4,5,2,2,5,5,5,5,4,4,4,3,4,5,4,5,5,3,4,4,4,3,3,2,3,4,4,3
92158,4,5,4,4,2,28,5,5,28,28,5,28,28,28,28,5,2,5,28,28,5,28,28,4,5,4,3,5,28,3,4,4,4,4,4,3,4,4,4,4,4,2,4,5,3,4,3,5,4,3,4,4,2,4,4,3,4,4,4,3
